Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*
1/01/2023;PROCESADOS;Café instantáneo;Cali, Siloé;184.278
1/12/2023;PROCESADOS;Café instantáneo;Cali, Siloé;182.222
1/02/2023;PROCESADOS;Café instantáneo;Cali, Siloé;180.903
1/11/2023;PROCESADOS;Café instantáneo;Cali, Siloé;180.417
1/05/2023;PROCESADOS;Café instantáneo;Cali, Siloé;178.722
1/06/2023;PROCESADOS;Café instantáneo;Cali, Siloé;178.611
1/07/2023;PROCESADOS;Café instantáneo;Cali, Siloé;178.472
1/12/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;178.472
1/04/2023;PROCESADOS;Café instantáneo;Cali, Siloé;178.194
1/04/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;176.944
1/03/2023;PROCESADOS;Café instantáneo;Cali, Siloé;176.875
1/05/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;176.611
1/07/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);176.279
1/01/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;176.056
1/06/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);175.952
1/08/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);175.801
1/04/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);175.694
1/05/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);175.657
1/10/2023;PROCESADOS;Café instantáneo;Cali, Siloé;175.500
1/08/2023;PROCESADOS;Café instantáneo;Cali, Siloé;175.333
1/02/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);174.967
1/03/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);174.812
1/01/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);173.739
1/09/2023;PROCESADOS;Café instantáneo;Cali, Siloé;173.333
1/11/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;173.250
1/06/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;173.125
1/09/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);172.798
1/07/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;172.778
1/10/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;172.278
1/03/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;170.986
1/08/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;169.583
1/09/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;168.889
1/10/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);168.608
1/11/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);167.892
1/02/2023;PROCESADOS;Café instantáneo;Cali, La Floresta;167.431
1/12/2023;PROCESADOS;Café instantáneo;Palmira (Valle del Cauca);166.299
1/05/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);162.139
1/04/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);158.799
1/03/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);158.771
1/02/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);158.604
1/01/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);157.178
1/01/2023;PROCESADOS;Café instantáneo;Cali, Santa Elena;156.863
1/02/2023;PROCESADOS;Café instantáneo;Tuluá (Valle del Cauca);156.601
1/10/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);156.578
1/12/2023;PROCESADOS;Café instantáneo;Tuluá (Valle del Cauca);156.258
1/07/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);156.226
1/11/2023;PROCESADOS;Café instantáneo;Tuluá (Valle del Cauca);155.669
1/06/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);154.868
1/12/2023;PROCESADOS;Café instantáneo;Buenaventura (Valle del Cauca);154.826
1/11/2023;PROCESADOS;Café instantáneo;Cali, Santa Elena;154.575
1/10/2023;PROCESADOS;Café instantáneo;Cali, Santa Elena;154.466
1/04/2023;PROCESADOS;Café instantáneo;Tuluá (Valle del Cauca);154.101
1/12/2023;PROCESADOS;Café instantáneo;Cali, Santa Elena;154.074
1/05/2023;PROCESADOS;Café instantáneo;Tuluá (Valle del Cauca);153.951
1/02/2023;PROCESADOS;Café instantáneo;Cali, Santa Elena;153.922
1/03/2023;PROCESADOS;Café instantáneo;Cali, Santa Elena;153.813
1/10/2023;PROCESADOS;Café instantáneo;Buenaventura (Valle del Cauca);153.646
1/12/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);153.583
1/11/2023;PROCESADOS;Café instantáneo;Cartago (Valle del Cauca);152.972
1/04/2023;PROCESADOS;Café instantáneo;Cali, Santa Elena;152.941
1/11/2023;PROCESADOS;Café instantáneo;Buenaventura (Valle del Cauca);152.838
1/10/2023;PROCESADOS;Café instantáneo;Tuluá (Valle del Cauca);152.544
1/01/2023;PROCESADOS;Café instantáneo;Tuluá (Valle del Cauca);152.287
1/09/2023;PROCESADOS;Café instantáneo;Buenaventura (Valle del Cauca);152.097
1/05/2023;PROCESADOS;Café instantáneo;Cali, Santa Elena;152.070
